CLIENTNUM,Predicted_Spending
168,1013.58
169,3061.08
170,1649.95
171,1471.88
172,959.36
173,1494.6
174,1517.3
175,1204.95
176,2556.25
177,1658.34
178,1366.21
179,1182.31
180,978.97
181,1263.62
182,1795.42
183,1478.75
184,2058.64
185,1309.4608333333335
186,1327.07
187,1285.55
188,1247.1
189,1643.68
190,1641.52
191,1480.34
192,1791.18
193,1967.97
194,1674.66
195,1020.4
196,1292.23
197,1644.14
198,889.81
199,1142.45
200,1839.4
201,1287.73
202,1542.63
203,1164.04
204,1405.76
205,1322.73
206,904.06
207,974.05
208,1521.68
209,2254.13
210,1492.28
211,1274.5
212,2018.84
213,1595.56
214,1224.03
215,1270.02
216,1561.77
217,1514.54
218,1519.59
219,1453.01
220,1864.16
221,1215.84
222,1392.3
223,1125.17
224,1219.52
225,1099.02
226,1406.77
227,1591.61
228,1620.0
229,1064.98
230,753.15
231,1440.05
232,1354.04
233,2712.15
234,1046.95
235,1474.65
236,847.34
237,1116.4519999999998
238,1548.4
239,1626.73
240,1073.74
241,1889.87
242,799.02
243,793.31
244,1647.77
245,1874.78
246,1365.48
247,838.65
248,1291.64
249,1457.63
250,1445.53
251,1992.3
252,1376.88
253,730.75
254,799.82
255,1689.35
256,1543.11
257,1889.56
258,1328.11
259,1506.14
260,1427.06
261,1027.02
262,971.96
263,2124.78
264,1242.36
265,1217.98
266,1093.06
267,1801.08
268,883.65
269,1235.69
270,1750.54
271,1385.19
272,1537.18
273,1327.32
274,1263.99
275,1287.82
276,795.3
277,1588.57
278,1654.91
279,1204.21
280,1559.82
281,1453.95
282,1528.58
283,831.99
284,2162.63
285,1873.11
286,1068.46
287,1238.0
288,883.29
289,1953.3
290,1378.47
291,1568.35
292,1634.71
293,1437.07
294,1705.63
295,1543.04
296,1943.14
297,1294.0
298,1295.26
299,1334.37
300,1149.71
301,1364.01
302,1529.91
303,1517.9
304,1894.47
305,1711.53
306,2021.23
307,1187.1
308,1489.92
309,1463.78
310,1146.08
311,1795.16
312,1260.53
313,2028.58
314,784.05
315,1387.25
316,1243.41
317,1710.99
318,1352.16
319,1576.26
320,2435.98
321,871.42
322,1202.86
323,1416.64
324,1350.4
325,1764.56
326,1862.71
327,1210.1
328,1355.35
329,1664.47
330,785.71
331,1229.17
332,2279.61
333,1378.74
334,1797.06
335,1450.78
336,1388.83
337,1382.8
338,1406.83
339,1542.26
340,1789.48
341,1524.75
342,1181.08
343,718.45
344,2582.77
345,1246.84
346,2001.7
347,1493.82
348,1855.98
349,1721.69
350,1793.42
351,1351.98
352,1489.46
353,2334.17
354,2182.01
355,1239.07
356,1789.18
357,1487.79
358,1657.83
359,1554.97
360,2055.406
361,1594.57
362,1830.41
363,939.38
364,1191.39
365,1360.92
366,1495.02
367,1604.27
368,1514.94
369,1271.09
370,1226.16
371,1409.28
372,1549.88
373,1725.45
374,1612.17
375,1787.57
376,1413.99
377,1244.89
378,1621.0
379,1290.08
380,1342.91
381,1621.27
382,1799.27
383,1430.72
384,1399.31
385,1514.72
386,695.07
387,1337.71
388,1406.53
389,1664.32
390,1267.78
391,3089.59
392,1575.17
393,1504.02
394,2876.19
395,1444.61
396,1674.31
397,1248.09
398,1620.76
399,1805.55
400,962.71
401,725.55
402,1693.63
403,2335.89
404,1239.89
405,1517.28
406,953.01
407,1508.95
408,1359.77
409,1531.36
410,1614.14
411,1911.48
412,1206.03
413,2253.08
414,1331.48
415,1261.74
416,1627.48
417,1478.32
418,1464.54
419,1079.94
420,942.39
421,1618.8
422,2394.34
423,1047.96
424,1093.43
425,912.14
426,961.87
427,1269.67
428,1071.8
429,2379.47
430,1617.82
431,1708.67
432,1759.01
433,1725.55
434,1575.7
435,1338.51
436,1669.39
437,1511.17
438,1691.42
439,1659.59
440,2163.57
441,1827.86
442,1711.36
443,1264.71
444,2538.37
445,2023.55
446,851.73
447,1468.66
448,1457.26
449,1354.65
450,1331.78
451,783.17
452,1215.66
453,1719.79
454,1939.66
455,935.01
456,1793.54
457,1444.33
458,1224.97
459,1992.8
460,1513.22
461,1323.78
462,2037.38
463,890.54
464,1213.74
465,1677.8
466,1496.27
467,1637.5
468,1965.05
469,1350.15
470,2858.04
471,1461.41
472,1583.49
473,699.63
474,3024.06
475,958.45
476,1544.1
477,1311.77
478,1362.69
479,1791.11
480,3997.23
481,1426.99
482,1513.69
483,1423.9
484,1316.73
485,1662.87
486,1445.09
487,1772.38
488,1642.25
489,1255.87
490,1230.91
491,1411.09
492,1621.0
493,2050.37
494,2116.99
495,2043.49
496,1310.75
497,1497.15
498,1396.26
499,1536.91
500,1960.25
501,1782.89
502,1539.19
503,1561.49
504,1288.75
505,2003.22
506,3096.84
507,1319.97
508,1735.83
509,1078.79
510,1593.73
511,1590.11
512,1806.34
513,1408.32
514,1530.35
515,1268.58
516,1952.56
517,1560.39
518,1840.01
519,1143.47
520,2418.35
521,2367.64
522,844.84
523,1465.21
524,1454.36
525,1522.37
526,1713.88
527,1464.84
528,2105.84
529,1530.0
530,1538.57
531,1458.97
532,1875.72
533,2487.6
534,878.54
535,1435.07
536,1323.81
537,828.63
538,1734.02
539,1301.05
540,1780.29
541,1537.65
542,2099.43
543,2666.22
544,1413.93
545,1472.57
546,2004.87
547,1502.91
548,1097.31
549,753.21
550,1772.48
551,1464.83
552,1474.02
553,1940.84
554,1712.84
555,2228.34
556,1797.51
557,1809.87
558,1267.99
559,847.48
560,2678.37
561,1894.27
562,1571.84
563,2199.17
564,812.18
565,1887.0
566,1513.82
567,1574.16
568,832.93
569,1460.32
570,2659.44
571,1434.73
572,1451.56
573,1960.07
574,1271.7
575,1114.61
576,1810.61
577,3909.11
578,1437.29
579,1719.14
580,697.73
581,912.97
582,2538.24
583,738.89
584,1152.65
585,1843.91
586,1452.18
587,2052.69
588,1753.21
589,1627.06
590,1829.18
591,1487.27
592,1842.89
593,935.9
594,783.73
595,1999.26
596,748.46
597,1267.45
598,893.46
599,1521.54
600,1944.45
601,2412.33
602,1862.17
603,1702.45
604,749.77
605,3206.95
606,1625.2
607,1755.54
608,1774.48
609,1701.08
610,1457.81
611,2540.24
612,1364.09
613,2052.55
614,1924.09
615,1337.01
616,1500.14
617,2884.5
618,1978.17
619,1922.11
620,1676.67
621,1573.95
622,2013.37
623,1535.84
624,1077.66
625,4039.22
626,971.12
627,4264.84
628,1531.09
629,2091.72
630,1426.19
631,1656.49
632,1730.45
633,1234.3
634,1900.68
635,2238.63
636,1249.2316666666668
637,2056.86
638,1742.89
639,1646.47
640,2812.66
641,1374.03
642,1910.34
643,2150.54
644,2315.78
645,1377.86
646,1441.26
647,2175.47
648,2016.89
649,691.25
650,1797.54
651,3157.37
652,1380.79
653,803.48
654,1356.43
655,4110.41
656,2061.09
657,904.96
658,1676.65
659,897.77
660,1433.01
661,1923.68
662,1801.8
663,1513.26
664,1901.41
665,1485.22
666,1730.25
667,2258.43
668,1604.96
669,1393.07
670,1819.25
671,1372.63
672,1251.89
673,1220.025
674,1649.94
675,1733.31
676,1399.59
677,958.04
678,992.87
679,1381.85
680,1524.12
681,1221.87
682,1523.98
683,1651.84
684,1310.55
685,1789.86
686,1370.72
687,1844.12
688,1358.04
689,781.86
690,1725.56
691,934.99
692,1595.85
693,4191.67
694,1627.03
695,1953.4648333333334
696,2100.62
697,1454.37
698,2151.76
699,1369.39
700,2865.34
701,1765.13
702,2194.63
703,1837.1
704,3082.26
705,1766.5
706,1512.95
707,1614.77
708,1383.13
709,1391.22
710,1411.43
711,2047.4
712,1866.09
713,1809.28
714,2041.48
715,3734.44
716,1754.65
717,968.91
718,1967.15
719,1202.69
720,1736.18
721,1297.31
722,1805.8
723,1836.24
724,1987.59
725,1317.68
726,1397.78
727,894.37
728,725.69
729,1780.58
730,2524.11
731,1959.65
732,1556.14
733,1541.91
734,1065.67
735,1220.1
736,1465.34
737,1785.9
738,1970.51
739,1362.6
740,1310.6
741,1104.85
742,2762.96
743,1560.77
744,3147.94
745,5319.42
746,2142.42
747,1424.05
748,1330.47
749,1590.9
750,1811.99
751,3068.63
752,680.97
753,2250.43
754,2151.69
755,1654.67
756,2700.64
757,1032.71
758,1562.6
759,2193.69
760,1461.47
761,2975.84
762,1396.55
763,1524.24
764,1006.05
765,2210.48
766,1570.96
767,2165.98
768,2192.82
769,1277.94
770,1630.56
771,1378.21
772,1441.31
773,1710.39
774,1779.35
775,817.17
776,1493.78
777,1977.82
778,2255.27
779,2513.1
780,2721.66
781,2455.62
782,2050.71
783,1771.02
784,1792.9935
785,742.58
786,1645.54
787,1385.86
788,3753.07
789,1685.27
790,1194.98
791,1820.36
792,1692.43
793,1612.64
794,4189.75
795,2263.22
796,1889.96
797,1786.36
798,2009.21
799,2069.41
800,1790.59
801,1645.07
802,1377.08
803,1920.06
804,1653.59
805,2090.81
806,1541.64
807,1372.69
808,1865.65
809,1437.46
810,1567.84
811,1419.09
812,1334.42
813,807.28
814,3213.9
815,1744.09
816,1297.2533333333333
817,2090.3
818,1927.7
819,1662.915
820,2424.28
821,1400.19
822,1566.85
823,1661.25
824,1107.87
825,3129.34
826,1865.6
827,1712.38
828,4417.26
829,1910.31
830,1538.91
831,1862.95
832,1798.3
833,1516.36
834,1524.73
835,2179.5
836,1606.81
837,1963.04
838,2540.6
839,1462.65
840,1450.0
841,1513.75
842,1257.5733333333333
843,1126.11
844,1156.05
845,1654.44
846,1019.01
847,1912.41
848,1220.04
849,1380.04
850,2421.4
851,1686.28
852,1906.42
853,1774.65
854,1207.42
855,2532.09
856,1444.32
857,1878.8
858,3612.67
859,1274.83
860,1606.39
861,1289.75
862,2138.14
863,1772.59
864,1960.54
865,1520.43
866,1725.97
867,2658.62
868,1435.81
869,2211.96
870,2921.5
871,1655.35
872,1342.28
873,1756.69
874,1785.66
875,1536.91
876,2088.18
877,1870.17
878,1787.35
879,1738.86
880,1059.34
881,1300.64
882,1312.92
883,3043.92
884,1471.4
885,1610.88
886,1312.82
887,998.11
888,1283.34
889,2080.87
890,3261.11
891,1621.95
892,1915.31
893,1339.05
894,1779.44
895,1606.51
896,1808.76
897,1622.23
898,2392.11
899,2156.76
900,1573.83
901,1367.35
902,4033.28
903,1563.28
904,2399.69
905,986.74
906,2682.73
907,3490.45
908,1969.08
909,2265.36
910,2074.01
911,3694.91
912,2101.59
913,1988.84
914,2022.82
915,1697.33
916,1679.86
917,3198.78
918,3848.11
919,2534.9933333333333
920,1549.4
921,790.13
922,1016.21
923,1782.69
924,1400.73
925,2698.17
926,2472.19
927,1468.95
928,2438.03
929,1652.57
930,1261.72
931,4149.43
932,2000.0485714285712
933,1451.95
934,2069.88
935,741.4
936,2521.69
937,1308.23
938,1756.92
939,1672.24
940,1797.15
941,1729.77
942,1875.81
943,1579.83
944,2492.71
945,1940.71
946,1234.34
947,2246.11
948,1359.14
949,1606.35
950,2156.67
951,1517.78
952,1911.94
953,1617.18
954,1494.52
955,3390.66
956,1794.26
957,1745.01
958,1752.07
959,1915.66
960,3511.53
961,1934.32
962,1382.2
963,1580.66
964,1723.81
965,1589.7
966,2465.22
967,3481.65
968,1101.17
969,1753.56
970,3572.87
971,2070.77
972,1303.34
973,1666.94
974,1592.59
975,1686.19
976,1600.28
977,1557.0
978,1845.11
979,1564.28
980,1212.19
981,1522.17
982,1756.16
983,1184.57
984,1866.76
985,1296.06
986,2190.34
987,1615.43
988,2228.6
989,1646.69
990,3384.71
991,1361.29
992,2452.85
993,1104.43
994,1450.34
995,2245.6
996,1479.17
997,1422.07
998,1409.96
999,1696.23
1000,1462.7
1001,2010.5
1002,1444.22
1003,984.51
1004,1608.89
1005,1349.81
1006,1077.65
1007,1486.45
1008,2283.03
1009,3400.68
1010,1381.46
1011,3113.02
1012,1416.58
1013,2809.65
1014,1073.95
1015,1316.2
1016,2098.25
1017,1898.53
1018,1664.02
1019,1442.13
1020,1652.86
1021,2349.89
1022,2062.53
1023,2223.25
1024,1597.77
1025,887.48
1026,2988.49
1027,1785.92
1028,2762.53
1029,1687.16
1030,2372.34
1031,1526.66
1032,1723.04
1033,2832.54
1034,1943.62
1035,2312.83
1036,647.09
1037,2038.78
1038,1702.22
1039,1194.7266666666665
1040,1429.79
1041,1925.64
1042,2587.34
1043,907.42
1044,866.17
1045,1648.23
1046,896.16
1047,2197.38
1048,732.99
1049,3761.74
1050,2190.04
1051,1950.68
1052,1344.85
1053,1415.12
1054,2666.83
1055,1668.81
1056,2132.84
1057,1769.66
1058,2516.18
1059,1876.9
1060,1603.68
1061,2457.88
1062,1248.94
1063,1590.81
1064,1246.78
1065,1882.04
1066,2323.41
1067,1270.88
1068,2031.93
1069,1350.84
1070,2810.59
1071,1505.49
1072,1629.38
1073,2522.24
1074,773.32
1075,2384.39
1076,2027.65
1077,1388.7
1078,1734.65
1079,1408.49
1080,2104.65
1081,1474.02
1082,1399.96
1083,1356.48
1084,3791.35
1085,3231.26
1086,1677.21
1087,1482.03
1088,983.45
1089,2337.98
1090,1463.69
1091,2486.39
1092,1072.07
1093,2231.18
1094,2032.73
1095,1324.61
1096,2560.49
1097,1984.16
1098,1693.8
1099,3217.48
1100,2805.5
1101,5792.0
1102,1304.83
1103,1688.14
1104,1501.7
1105,3627.8
1106,2270.2
1107,1676.13
1108,2635.26
1109,1739.88
1110,1794.57
1111,2025.62
1112,2596.31
1113,1398.81
1114,2397.49
1115,2169.83
1116,1478.9
1117,2568.86
1118,2950.99
1119,1924.41
1120,866.13
1121,1363.74
1122,1598.73
1123,1709.73
1124,2509.68
1125,1601.49
1126,1949.44
1127,3316.41
1128,1631.64
1129,2472.92
1130,1857.26
1131,2222.98
1132,2098.16
1133,2320.15
1134,3198.74
1135,1715.04
1136,1352.71
1137,806.1
1138,1145.12
1139,2960.04
1140,1325.98
1141,1428.96
1142,2110.49
1143,2888.77
1144,1582.94
1145,2213.01
1146,1725.74
1147,2102.28
1148,1823.13
1149,1830.72
1150,2645.78
1151,1981.39
1152,1792.66
1153,3027.37
1154,1396.6
1155,1383.0525
1156,1547.48
1157,1701.44
1158,1746.36
1159,3042.94
1160,2157.22
1161,816.0
1162,1377.8
1163,1569.58
1164,1499.09
1165,1500.42
1166,1793.29
1167,4607.39
1168,970.21
1169,1971.69
1170,3004.69
1171,1825.27
1172,1678.03
1173,2549.5
1174,1658.32
1175,1506.65
1176,3217.5
1177,1810.86
1178,1379.26
1179,1674.79
1180,1439.11
1181,1522.14
1182,2078.75
1183,6061.5
1184,1879.6
1185,1434.69
1186,1608.4966666666667
1187,1934.56
1188,2657.02
1189,1772.75
1190,3692.5
1191,1619.43
1192,1350.44
1193,4292.42
1194,4277.39
1195,2007.27
1196,1825.29
1197,1610.85
1198,2239.36
1199,3694.6
1200,901.22
1201,1744.13
1202,1425.92
1203,3261.57
1204,1506.29
1205,2349.94
1206,1972.13
1207,1723.63
1208,3950.93
1209,1629.47
1210,1383.05
1211,1765.75
1212,1748.43
1213,1708.36
1214,1389.78
1215,1942.56
1216,1352.53
1217,2167.35
1218,2078.12
1219,1853.75
1220,2167.94
1221,1262.34
1222,2790.06
1223,2976.08
1224,2828.7
1225,1523.56
1226,1245.04
1227,2533.5
1228,2135.56
1229,2077.05
1230,1449.49
1231,1541.16
1232,1345.0
1233,4168.23
1234,2802.78
1235,1615.34
1236,1465.79
1237,1874.29
1238,1828.88
1239,1797.85
1240,1791.35
1241,1961.97
1242,1407.03
1243,1735.83
1244,2593.42
1245,1753.7
1246,1300.27
1247,1709.96
1248,2451.63
1249,3604.34
1250,1045.59
1251,1803.39
1252,2694.49
1253,3092.62
1254,4336.41
1255,2002.34
1256,1420.69
1257,1225.46
1258,1708.87
1259,2126.05
1260,2131.66
1261,1388.04
1262,2770.64
1263,3957.77
1264,1813.96
1265,2180.18
1266,2101.73
1267,3541.96
1268,1171.44
1269,2003.85
1270,1126.93
1271,2513.62
1272,1649.84
1273,1595.93
1274,1767.58
1275,2270.99
1276,2161.78
1277,3943.94
1278,1262.7045
1279,3144.9
1280,1609.93
1281,3176.67
1282,1582.39
1283,2558.29
1284,1702.746
1285,2375.96
1286,1329.98
1287,2696.06
1288,4125.84
1289,1956.73
1290,2048.35
1291,1514.47
1292,2229.48
1293,2468.98
1294,1063.31
1295,1172.56
1296,2243.3
1297,3492.24
1298,2557.94
1299,1999.33
1300,2416.33
1301,1889.41
1302,1479.99
1303,2209.53
1304,2140.53
1305,2066.7366666666667
1306,1612.71
1307,1631.26
1308,1530.25
1309,2346.81
1310,2626.25
1311,1178.2966666666666
1312,2091.63
1313,2544.05
1314,1881.31
1315,2793.91
1316,1491.33
1317,1851.83
1318,2497.44
1319,1772.6
1320,2021.43
1321,1426.99
1322,1464.89
1323,2106.36
1324,1777.88
1325,1365.32
1326,1650.21
1327,1935.19
1328,1225.19
1329,1791.49
1330,1509.08
1331,2110.17
1332,3471.41
1333,1493.11
1334,2069.04
1335,2267.2266666666665
1336,3911.43
1337,1581.25
1338,2487.33
1339,2817.71
1340,1747.03
1341,1524.8
1342,1463.28
1343,2243.451222222222
1344,1294.03
1345,2430.76
1346,1833.81
1347,2661.54
1348,3229.71
1349,2607.61
1350,1158.8
1351,958.18
1352,1394.07
1353,2144.97
1354,3741.41
1355,2405.19
1356,1116.65
1357,1662.53
1358,1572.84
1359,1371.55
1360,3133.67
1361,1967.13
1362,1425.85
1363,1685.15
1364,3211.63
1365,1691.52
1366,1307.46
1367,2284.12
1368,1312.26
1369,3012.57
1370,2079.03
1371,2449.01
1372,2880.14
1373,1666.21
1374,3425.82
1375,2723.0
1376,1561.74
1377,1434.0
1378,1734.58
1379,1680.48
1380,1383.85
1381,1936.83
1382,2877.8
1383,2480.57
1384,1157.01
1385,2049.85
1386,1797.5
1387,1289.09
1388,1858.42
1389,3636.7
1390,3160.04
1391,2689.01
1392,1506.31
1393,2416.78
1394,1421.11
1395,2099.85
1396,3038.58
1397,1655.41
1398,2553.93
1399,1501.46
1400,2232.89
1401,1108.97
1402,1712.54
1403,3763.92
1404,1732.83
1405,1843.41
1406,1850.27
1407,2378.92
1408,1495.0
1409,2173.99
1410,1538.37
1411,1389.85
1412,1920.71
1413,2520.58
1414,1753.97
1415,1717.08
1416,1603.85
1417,4074.93
1418,4362.05
1419,2974.72
1420,2130.74
1421,3579.86
1422,1612.14
1423,2370.94
1424,1784.43
1425,2808.83
1426,1500.0
1427,3080.55
1428,3304.31
1429,1802.86
1430,1637.97
1431,2357.84
1432,1830.89
1433,1808.0
1434,1469.87
1435,1847.81
1436,3046.13
1437,3016.33
1438,3665.79
1439,1243.07
1440,1447.41
1441,3514.1
1442,5354.78
1443,1616.66
1444,2054.69
1445,2053.386
1446,1434.53
1447,1958.55
1448,1563.08
1449,2158.77
1450,1611.67
1451,3368.82
1452,1731.81
1453,1991.97
1454,2102.77
1455,2644.73
1456,1478.99
1457,1861.32
1458,2479.79
1459,1484.39
1460,3170.69
1461,1939.09
1462,2147.82
1463,1940.79
1464,2658.71
1465,1454.42
1466,1191.33
1467,2023.27
1468,4010.81
1469,1660.5475
1470,1758.32
1471,1676.09
1472,3960.3
1473,2595.47
1474,2827.35
1475,2889.08
1476,1633.93
1477,2374.07
1478,1764.44
1479,3060.39
1480,2158.01
1481,2952.84
1482,2278.06
1483,2104.3
1484,2459.6
1485,2649.7
1486,2113.88
1487,2247.06
1488,4380.15
1489,2235.69
1490,1703.83
1491,2842.36
1492,1733.3
1493,2303.92
1494,2183.05
1495,2204.81
1496,1830.94
1497,3035.45
1498,1576.34
1499,1836.34
1500,1902.93
1501,1843.03
1502,1540.87
1503,2296.26
1504,2214.12
1505,1738.6
1506,2763.09
1507,1750.39
1508,2319.01
1509,2458.86
1510,1465.39
1511,1728.1
1512,3901.59
1513,1808.78
1514,1343.02
1515,1656.08
1516,1681.86
1517,2151.4
1518,1797.13
1519,1787.22
1520,2654.09
1521,2318.7
1522,3169.15
1523,3315.24
1524,1667.94
1525,3455.09
1526,1502.81
1527,1533.97
1528,1842.72
1529,1262.62
1530,3844.36
1531,1753.65
1532,1496.95
1533,2600.15
1534,2858.72
1535,2490.83
1536,4159.42
1537,1575.93
1538,1595.09
1539,1824.44
1540,2750.06
1541,1753.88
1542,1751.16
1543,1404.7
1544,2148.95
1545,1835.79
1546,1403.73
1547,2266.19
1548,1556.24
1549,3299.29
1550,1184.55
1551,1712.93
1552,3255.99
1553,2178.7
1554,1779.68
1555,1887.9
1556,1523.77
1557,1559.48
1558,2008.42
1559,2560.3
1560,3639.49
1561,1750.77
1562,3314.71
1563,1949.06
1564,2090.58
1565,2387.16
1566,1894.27
1567,1489.32
1568,1727.64
1569,2736.99
1570,1674.03
1571,3069.02
1572,1433.1
1573,1655.77
1574,1650.46
1575,2758.15
1576,2100.51
1577,1279.43
1578,4793.59
1579,1527.09
1580,1670.38
1581,2615.95
1582,1312.82
1583,1318.72
1584,3666.41
1585,1901.51
1586,3223.0
1587,1728.27
1588,3945.4
1589,1003.49
1590,1352.7
1591,1648.04
1592,2209.08
1593,6750.4
1594,1764.09
1595,3064.41
1596,2646.39
1597,3305.91
1598,3102.96
1599,4716.39
1600,2832.34
1601,1966.7
1602,1933.32
1603,2488.32
1604,2030.4
1605,3412.0
1606,2093.06
1607,1461.68
1608,1949.64
1609,1864.07
1610,2430.74
1611,1898.85
1612,1369.65
1613,1548.07
1614,3747.32
1615,1866.57
1616,1983.14
1617,3781.61
1618,1695.09
1619,2164.47
1620,1987.77
1621,1644.8
1622,2989.12
1623,1921.59
1624,1659.36
1625,1617.95
1626,5527.65
1627,2743.8
1628,890.29
1629,1563.8
1630,1818.2
1631,1730.17
1632,2845.09
1633,1863.93
1634,1100.23
1635,1550.71
1636,1896.45
1637,3583.68
1638,3568.19
1639,2782.9
1640,1549.19
1641,1557.8
1642,1682.13
1643,4707.13
1644,2683.63
1645,1571.27
1646,2689.09
1647,2361.63
1648,1744.91
1649,838.36
1650,2699.3
1651,2353.66
1652,3041.06
1653,2252.03
1654,2585.18
1655,905.14
1656,2948.63
1657,1360.09
1658,1344.4
1659,2188.84
1660,2517.72
1661,1964.04
1662,2195.28
1663,1408.06
1664,3920.98
1665,952.08
1666,1863.88
1667,1825.15
1668,1580.21
1669,3996.37
1670,1861.5
1671,2019.73
1672,3938.3
1673,2676.06
1674,2967.95
1675,1373.91
1676,2352.22
1677,2458.34
1678,2353.74
1679,2071.39
1680,1835.89
1681,2081.46
1682,1351.22
1683,1634.28
1684,3226.24
1685,1422.07
1686,2016.07
1687,1962.86
1688,2953.08
1689,2483.71
1690,3172.28
1691,3129.1
1692,1559.66
1693,662.43
1694,1816.62
1695,1383.72
1696,1556.79
1697,2453.38
1698,3235.82
1699,2261.73
1700,3506.96
1701,1782.33
1702,4812.51
1703,1945.26
1704,1873.22
1705,1506.11
1706,2558.76
1707,1125.9841666666666
1708,1517.63
1709,1416.21
1710,2154.85
1711,2013.64
1712,1871.71
1713,1351.33
1714,3900.46
1715,1783.5
1716,1940.97
1717,1441.35
1718,3821.77
1719,2565.65
1720,4662.86
1721,1396.28
1722,1838.34
1723,1488.58
1724,1780.84
1725,1482.55
1726,2872.47
1727,2307.94
1728,2012.7
1729,2074.45
1730,3535.09
1731,1628.59
1732,1715.65
1733,2306.4
1734,3264.3
1735,2979.83
1736,1749.61
1737,1820.43
1738,2762.19
1739,1198.75
1740,1416.65
1741,2347.82
1742,1355.77
1743,2573.49
1744,3072.64
1745,3864.81
1746,1931.5116666666665
1747,4569.21
1748,2242.34
1749,2425.63
1750,1793.23
1751,2021.47
1752,948.41
1753,3079.64
1754,3606.69
1755,1931.5116666666665
1756,2576.17
1757,1486.37
1758,3983.2
1759,1447.56
1760,1791.19
1761,1930.63
1762,1262.28
1763,2172.1
1764,1886.15
1765,4904.45
1766,1338.68
1767,2096.56
1768,2193.47
1769,2430.08
1770,3780.89
1771,2178.51
1772,1605.34
1773,1612.26
1774,3136.34
1775,4261.1
1776,2013.94
1777,3065.77
1778,1382.81
1779,2635.58
1780,2514.38
1781,3556.25
1782,1394.79
1783,1739.79
1784,4091.94
1785,1786.47
1786,2626.9
1787,1923.98
1788,1530.5
1789,2797.2
1790,2664.18
1791,2886.49
1792,1214.01
1793,2440.21
1794,1288.47
1795,3958.76
1796,1890.77
1797,2764.66
1798,1428.99
1799,2020.42
1800,2004.53
1801,2303.31
1802,1617.51
1803,2839.77
1804,1355.05
1805,1964.33
1806,1679.43
1807,4253.66
1808,2915.86
1809,1696.8
1810,2349.42
1811,2528.07
1812,3457.67
1813,2041.96
1814,2598.98
1815,2088.945
1816,2865.82
1817,2996.08
1818,1060.14
1819,1721.05
1820,1622.58
1821,2802.51
1822,2058.06
1823,3639.2
1824,2963.4
1825,3171.69
1826,1807.43
1827,1263.95
1828,1711.94
1829,1864.36
1830,1554.81
1831,1892.42
1832,4100.5
1833,1935.58
1834,1921.23
1835,1811.36
1836,1676.12
1837,3227.3
1838,1835.08
1839,2537.47
1840,2749.49
1841,2629.51
1842,3147.07
1843,1311.09
1844,1263.26
1845,1871.55
1846,3686.52
1847,3669.57
1848,3301.48
1849,1330.11
1850,1659.61
1851,3090.53
1852,2217.82
1853,4305.54
1854,1810.41
1855,2640.6
1856,4117.43
1857,1543.79
1858,1825.79
1859,1771.66
1860,2468.47
1861,1361.15
1862,2195.99
1863,2329.38
1864,1460.22
1865,1242.96
1866,1498.93
1867,725.95
1868,3032.3
1869,2427.77
1870,2032.43
1871,1752.35
1872,1460.35
1873,2225.84
1874,1449.66
